상품명,상품URL,브랜드,거래량,최근거래가,모델번호,발매일,발매일로부터현재까지일,발매가,색상,색상개수,최고거래가,최고거래성사일,최저거래가,최저거래성사일,관심,스타일
컨버스 x 케이스스터디 플레이어 L/T 프로 하이 네이비,https://kream.co.kr/products/55752,Converse,14,30000,167495C,2020/04/13,1500,85000,Navy/Jade Stone/Egret,3,50000,2022/08/13,30000,2023/12/10,109,1
(W) 나이키 블레이저 로우 플랫폼 화이트 블랙,https://kream.co.kr/products/55750,Nike,245,76000,DJ0292-101,2021/07/02,1055,109000,White/Black/Sail/Team Orange,4,169000,2022/04/22,56000,2023/02/19,1022,3
나이키 ACG 목 3.5 러쉬 오렌지,https://kream.co.kr/products/55742,Nike,23,80000,DJ6080-800,2022/04/01,782,109000,Rush Orange/Dutch Blue/Dark Smoke Grey,3,160000,2022/12/01,76000,2023/02/27,91,7
(W) 나이키 덩크 하이 화이트 그레이 포그,https://kream.co.kr/products/55726,Nike,38,90000,DD1869-111,2022/04/01,782,172900,White/Grey Fog-Sail,2,230000,2022/04/24,80000,2022/10/30,463,6
나이키 에어맥스 90 NRG 리저록,https://kream.co.kr/products/55725,Nike,23,129000,DC6083-200,2022/03/29,785,169000,Ridgerock/Turbo Green/Team Maroon/Saturn Gold,4,250000,2023/10/27,50000,2023/07/14,50,3
나이키 오버브레이크 아머리 네이비,https://kream.co.kr/products/55724,Nike,114,140000,DC8240-400,2022/03/29,785,169000,Armory Navy/Bright Crimson/Sail/White,4,148000,2022/07/13,50000,2023/05/05,267,5
컨버스 척 70 로우 유니버시티 블루,https://kream.co.kr/products/55673,Converse,121,79000,171569C,-,,95000,University Blue/Egret,2,100000,2023/05/09,40000,2024/02/25,657,13
컨버스 척 70 로우 히말라얀 솔트,https://kream.co.kr/products/55665,Converse,30,79000,171478C,2021/07/02,1055,95000,Himalayan Salt/Egret/Black,3,99000,2022/10/13,45000,2022/08/17,734,0
리복 x 메종 마르지엘라 클래식 레더 메모리 오브 슈즈 블랙,https://kream.co.kr/products/55650,Reebok,11,360000,GW5014/S57WS0428P4375T8013,2022/03/25,789,399000,Black,1,360000,2024/05/01,195000,2022/10/13,146,0
골든구스 슈퍼스타 화이트 블루탭 스니커즈,https://kream.co.kr/products/55634,Golden Goose,18,465000,GMF00102-F002181-10509,-,,,White/Blue,2,475000,2022/06/02,300000,2022/05/30,136,7
나이키 에어포스 1 하이 '07 LV8 세일 앤 미디움 그레이,https://kream.co.kr/products/55594,Nike,148,104000,DM0209-100,2022/04/18,765,159000,Sail/Medium Grey-Light Bone-Coconut Milk,2,208000,2022/04/18,80000,2023/11/12,708,19
(GS) 조던 1 로우 SE 화이트 라이트 보르도,https://kream.co.kr/products/55583,Jordan,40,200000,DM9037-100,2022/03/25,789,129000,White/Light Bordeaux/Rush Pink,3,200000,2023/10/29,105000,2022/03/31,189,6
(GS) 조던 1 미드 SE 블랙 라이트 스모크 그레이,https://kream.co.kr/products/55479,Jordan,58,71000,DM6216-016,2022/03/24,790,139000,Black/University Red/White/Light Smoke Grey,4,194000,2022/09/03,71000,2023/12/05,321,8
아디다스 이지 니트 러너 스톤 카본,https://kream.co.kr/products/55478,Adidas,194,230000,GY1759,2022/03/26,788,289000,Stone Carbon/Stone Carbon/Stone Carbon,3,579000,2022/03/30,181000,2023/08/11,855,15
(TD) 조던 1 로우 Alt 화이트 더치 블루,https://kream.co.kr/products/55472,Jordan,192,85000,DM8949-100,2022/03/24,790,65000,White/Dutch Blue/White,3,128000,2024/04/20,40000,2022/08/01,151,10
컨버스 x 칼하트 WIP 패스트브레이크 미드 화이트,https://kream.co.kr/products/55471,Converse,50,170000,172583C,2022/03/31,783,119000,White,1,200000,2022/05/19,110000,2023/08/14,634,2
(W) 나이키 데이브레이크 SE 세일 러쉬 오렌지,https://kream.co.kr/products/55335,Nike,115,107000,DN3399-100,2022/02/06,836,129000,Sail/Summit White/Rush Orange,3,140000,2022/06/17,30000,2022/11/22,399,7
(GS) 조던 1 미드 화이트 오닉스,https://kream.co.kr/products/55330,Jordan,19,72000,554725-201,2022/03/18,796,136000,White Onyx/Light Curry-White,2,250000,2022/03/30,50000,2024/01/23,224,1
(PS) 나이키 포스 1 토글 화이트 블랙,https://kream.co.kr/products/55329,Nike,10,119000,CU5287-104,-,,99000,White/Black,2,130000,2022/07/05,90000,2022/04/04,55,1
나이키 KD 14 시즈널 EP 블랙 레이저 크림슨,https://kream.co.kr/products/55313,Nike,76,199000,DC9380-001,2021/10/01,964,204100,Black/Black-Laser Crimson,2,200000,2022/10/18,90000,2022/09/16,67,5
(GS) 나이키 에어 모어 업템포 화이트 미드나잇 네이비,https://kream.co.kr/products/55272,Nike,15,189000,DH9719-100,2022/01/28,845,169000,White/Midnight Navy/White,3,220000,2023/07/23,95000,2022/05/03,162,4
(GS) 나이키 x 카이리 덩크 로우 SE 발틱 블루,https://kream.co.kr/products/55265,Nike,340,99000,DN4179-400,2022/03/01,813,,Baltic Blue/Baltic Blue/White,3,280000,2022/03/22,55000,2023/12/18,764,36
아식스 젤 난디 스모크 그레이 스웜프 그린,https://kream.co.kr/products/55255,Asics,10,199000,1201A265-021,-,,162600,Smoke Grey/Swamp Green,2,199000,2024/01/04,76000,2022/07/20,305,1
(TD) 나이키 에어포스 1 LV8 해브 어 나이키 데이,https://kream.co.kr/products/55223,Nike,90,109000,DM4254-100,2022/03/18,796,65000,White/Black/Dark Sulfur,3,154000,2022/06/16,60000,2022/09/22,153,15
컨버스 x 플레이 꼼데가르송 척 70 하이 프리스틴,https://kream.co.kr/products/55196,Converse,81,119000,A01794C,2022/03/24,790,198000,Pristine,1,240000,2022/03/24,70000,2023/01/25,495,6
아디다스 가젤 베이스 그린,https://kream.co.kr/products/55161,Adidas,35,144000,B41649,-,,,Base Green/Off White/Footwear White,3,222000,2023/05/02,59000,2022/11/11,795,3
뉴발란스 327 탄 오렌지 블루,https://kream.co.kr/products/55160,New Balance,91,149000,MS327FIN,2021/11/03,931,136000,Tan/Orange/Blue,3,149000,2024/05/09,50000,2022/07/20,137,4
나이키 로쉐 원 블랙 앤트러사이트 세일,https://kream.co.kr/products/55152,Nike,10,129000,511881-010,2012/07/14,4330,95200,Black/Anthracite-Sail,2,129000,2024/03/17,99000,2022/10/25,15,0
(PS) 나이키 코트 버로우 로우 울프 그레이,https://kream.co.kr/products/55142,Nike,173,69000,870025-104,-,,,White/Black/Wolf Grey,3,89000,2023/01/25,35000,2023/09/17,243,2
컨버스 척 70 로우 시즈널 캔버스 파이어 핏,https://kream.co.kr/products/55120,Converse,38,60000,171479C,-,,95000,Fire Pit/Egret/Black,3,150000,2023/03/06,45000,2023/03/07,306,6
(TD) 조던 1 로우 Alt 화이트 짐레드 블랙,https://kream.co.kr/products/55119,Jordan,455,89000,CI3436-163,2022/03/24,790,65000,White/Gym Red/Black,3,148000,2023/12/21,45000,2023/11/06,361,42
아디다스 캠퍼스 80s 그레이,https://kream.co.kr/products/55097,Adidas,40,85000,GX9406,-,,129000,Grey/Footwear White/Off White,3,150000,2022/07/22,70000,2022/12/13,465,4
푸마 x 아미 슬립스트림 미드 트레이너 화이트 프리스틴,https://kream.co.kr/products/55095,Puma,43,138000,384342-01,2022/03/19,795,169000,White/Pristine,2,245000,2022/09/21,86000,2023/10/21,271,5
(PS) 조던 1 로우 Alt 화이트 짐레드 블랙,https://kream.co.kr/products/55085,Jordan,574,80000,BQ6066-163,2022/03/11,803,79000,White/Gym Red/Black,3,139000,2024/04/10,55000,2022/07/13,430,36
(GS) 조던 1 미드 SE 화이트 워시드 틸,https://kream.co.kr/products/55082,Jordan,53,119000,DM6218-100,2022/03/21,793,139000,White/Washed Teal/Rush Pink/Rush Orange,4,189000,2022/08/18,100000,2022/04/06,333,21
푸마 MB.01 퀸 시티 퍼플 글리머 블루 아톨,https://kream.co.kr/products/55081,Puma,88,300000,377237-10,2022/03/18,796,170100,Purple Glimmer/Blue Atoll,2,500000,2022/11/24,189000,2022/04/02,115,3
(TD) 조던 1 미드 Alt 다크 아이리스,https://kream.co.kr/products/55080,Jordan,128,90000,AR6352-095,2022/03/21,793,65000,Black/Dark Iris/White,3,122000,2023/09/15,30000,2024/01/28,109,6
뉴발란스 x 슬로우 스테디 클럽 990v5 메이드 인 USA 페이퍼,https://kream.co.kr/products/55078,New Balance,478,279000,M990AA5,2022/03/25,789,259000,Paper,1,465000,2023/10/03,140000,2022/11/15,940,11
나이키 에어 트레이너 1 클로로필,https://kream.co.kr/products/55077,Nike,176,100000,DM0521-100,2022/05/13,740,159000,White/Black-Medium Grey,2,234000,2022/04/18,80000,2023/06/29,482,33
나이키 에어맥스 1 프리미엄 블루프린트,https://kream.co.kr/products/55075,Nike,11,359000,DR0448-100,2022/03/26,788,217700,White/Dark Marina Blue/Leche Blue,3,379000,2023/04/03,190000,2022/11/19,215,5
뉴발란스 550 버건디 시안 - D 스탠다드,https://kream.co.kr/products/55073,New Balance,11,65000,BB550WBG,2022/05/06,747,139000,White/Burgundy/Cyan,3,220000,2022/04/08,65000,2023/11/26,141,3
아식스 x 어퓨 젤 라이트 3 OG 폴라 쉐이드 씨그래스,https://kream.co.kr/products/55071,Asics,13,140000,1201A479-023,2022/03/24,790,259400,Polar Shade/Seagrass,2,298000,2022/03/25,110000,2023/11/24,48,3
(PS) 나이키 에어포스 1 LV8 해브 어 나이키 데이,https://kream.co.kr/products/55032,Nike,204,159000,DM4253-100,2022/03/18,796,89000,White/Black/Dark Sulfur,3,199000,2023/01/20,50000,2024/05/03,431,6
조던 1 미드 파리,https://kream.co.kr/products/55014,Jordan,64,250000,DR8038-100,2022/03/23,791,176900,White/University Red/Stealth/Midnight Navy,4,285000,2022/03/23,110000,2022/11/05,545,6
(W) 샤넬 스니커즈 패브릭 스웨이드 카프스킨 & 화이트 라이트 그레이,https://kream.co.kr/products/55007,Chanel,23,1900000,G39070-Y55826-K4283,-,,1571000,White/Light Grey,2,1990000,2024/03/25,1390000,2022/05/08,291,0
(W) 샤넬 스니커즈 메쉬 스웨이드 카프스킨 & 아이보리 블랙 베이지,https://kream.co.kr/products/55004,Chanel,27,1550000,G39066-Y55828-K4292,-,,,Ivory/Black/Beige,3,1800000,2022/04/05,1500000,2022/10/28,198,0
