상품명,거래량,최근거래가,발매일,발매일로부터현재까지일,발매가,색상개수,최고거래가,최고거래성사일,최저거래가,최저거래성사일,관심,스타일,가격변동성,수익률,콜라보,브랜드_Adidas,브랜드_Asics,브랜드_Converse,브랜드_Jordan,브랜드_Mihara Yasuhiro,브랜드_New Balance,브랜드_Nike,브랜드_Puma,브랜드_Salomon,브랜드_Vans
(W) 나이키 에어포스 1 폰탄카 코코넛 밀크,2.984492654,3.44151847,2022-09-17,22.23584304,3.963849616,2,2.872596444,2023-01-11,3.74117618,2024-04-04,11.07024486,1.046711732,604.3674709,22.07181067,0,0,0,0,0,0,0,1,0,0,0
나이키 프리미어 3 FG 블랙 화이트,2.224329491,3.428465572,2022-09-30,22.05740443,3.955054933,2,2.865934357,2023-03-23,3.724915363,2024-02-19,7.635144091,0.672240797,491.6675512,9.036795388,0,0,0,0,0,0,0,1,0,0,0
나이키 KD 15 EP 화이트 블랙,2.532721809,3.443803379,2022-07-01,23.25653395,3.97435153,4,2.874280324,2023-11-10,3.732135525,2023-11-01,6.330181383,0,808.9771495,19.20496937,0,0,0,0,0,0,0,1,0,0,0
나이키 x 허프 SB 덩크 로우 샌프란시스코,4.184926884,3.464075796,2022-11-22,21.30188372,3.955054933,3,2.885242948,2023-12-03,3.769613496,2023-11-29,17.31668977,3.455213572,932.7018537,93.18774749,1,0,0,0,0,0,0,1,0,0,0
(W) 나이키 에어포스 1 미드 '07 도쿄 03 바이오테크,2.754610236,3.433281306,2022-11-18,21.36057165,3.9675446,3,2.871746034,2022-11-18,3.750450212,2024-05-09,10.28655146,1.898699836,414.3515735,16.54030251,0,0,0,0,0,0,0,1,0,0,0
나이키 ACG 목 3.5 블랙 글로우,3.819856312,3.44151847,2022-10-20,21.7777598,3.944531295,4,2.869739061,2022-12-19,3.720836711,2023-10-14,11.34118156,2.504832088,728.9124492,27.81831099,0,0,0,0,0,0,0,1,0,0,0
나이키 에어맥스 플라이니트 레이서 퓨어 플래티넘 블랙,2.689812505,3.416869514,2022-08-02,22.84762305,3.977411166,3,2.86690105,2023-02-06,3.684989655,2024-02-15,8.007693818,0,971.0190794,-29.64963172,0,0,0,0,0,0,0,1,0,0,0
(GS) 나이키 에어맥스 97 실버불렛 2022,3.53759144,3.433597295,2022-11-11,21.46259313,3.977411166,2,2.870675483,2022-12-11,3.728666846,2023-10-24,11.08106946,2.082384297,675.9665832,4.619410745,0,0,0,0,0,0,0,1,0,0,0
나이키 PG 6 EP 하이퍼 로얄 라이트 마린,2.224329491,3.454622209,2022-07-21,23.00249023,3.955054933,2,2.871948253,2024-01-07,3.750886156,2023-07-03,6.803927414,0,418.8286488,26.78838393,0,0,0,0,0,0,0,1,0,0,0
나이키 x 슈프림 에어맥스 98 TL 브라운,2.733831354,3.457357777,2022-11-03,21.57814565,3.987671756,1,2.8775101,2023-12-13,3.755009723,2023-11-09,10.92631087,1.656452944,679.9365835,19.22072991,1,0,0,0,0,0,0,1,0,0,0
(W) 나이키 덩크 로우 에센셜 라이트 아이언 오어 블랙,4.322040705,3.433281306,2022-11-03,21.57814565,3.972213861,3,2.873785965,2023-01-29,3.743302908,2023-10-12,17.28796294,3.229903684,638.643399,19.30574711,0,0,0,0,0,0,0,1,0,0,0
나이키 에어 줌 플라이트 95 화이트 트루 레드,3.010578757,3.40474256,2022-09-17,22.23584304,3.977411166,2,2.873148261,2022-11-25,3.707147455,2024-02-05,8.712295568,1.898699836,1009.306796,13.03255991,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 덩크 하이 1985 에나멜 그린,4.169193913,3.44985952,2022-11-01,21.60686279,3.9675446,3,2.873785965,2023-12-04,3.698578765,2023-07-21,15.9418876,2.504832088,1096.250632,23.01140789,0,0,0,0,0,0,0,1,0,0,0
나이키 덩크 하이 레트로 블루 칠,4.115524466,3.429921816,2022-11-02,21.59251269,3.959586,4,2.874280324,2023-04-15,3.713487372,2024-02-20,15.02495429,3.089095643,997.9556392,31.0033168,0,0,0,0,0,0,0,1,0,0,0
나이키 덩크 하이 레트로 유니버시티 골드 앤 블랙,3.486519638,3.430275213,2022-11-02,21.59251269,3.959586,4,2.870524677,2023-09-13,3.706008016,2023-05-03,11.84891336,2.630285078,920.2154948,18.94891745,0,0,0,0,0,0,0,1,0,0,0
나이키 x 넥페이스 SB 덩크 로우 프로 블랙,4.057474195,3.450717709,2022-10-27,21.67836076,3.955054933,3,2.879429747,2023-10-13,3.761847879,2022-12-23,14.56510844,3.275795115,693.0488915,56.29265319,1,0,0,0,0,0,0,1,0,0,0
나이키 르브론 2 미드나잇 네이비,3.400744362,3.448424482,2022-10-25,21.70684303,3.992335303,3,2.878944529,2022-10-25,3.755009723,2022-12-15,9.839007734,1.898699836,762.3468784,20.4192051,0,0,0,0,0,0,0,1,0,0,0
(PS) 나이키 에어포스 1 로우 SE 40주년 화이트 블랙,3.258572966,3.429921816,2022-10-13,21.87635918,3.931297661,3,2.863340555,2022-10-26,3.684989655,2023-11-15,9.270925283,0.672240797,846.1533699,19.28372011,0,0,0,0,0,0,0,1,0,0,0
나이키 에어 줌 플라이트 95 블랙 앤 발레리안 블루,3.575578684,3.41465009,2022-10-20,21.7777598,3.977411166,3,2.868895857,2023-03-24,3.702427684,2023-09-30,11.36614959,2.352563982,890.5769624,-6.73911791,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 에어포스 1 쉐도우 세일 세서미,3.059168833,3.445911338,2022-09-21,22.18121087,3.963730634,4,2.873148261,2023-03-11,3.743818616,2023-09-24,10.15368743,1.499690641,596.2800675,23.93274191,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 에어포스 1 '07 SE 40주년 조인 포스 옐로우 오커,3.695975465,3.433597295,2022-10-26,21.69261019,3.959586,3,2.870524677,2023-05-01,3.735357567,2023-01-08,12.03084885,1.656452944,577.2324413,18.94891745,0,0,0,0,0,0,0,1,0,0,0
나이키 에어포스 1 미드 '07 LV8 40주년 조인 포스 블루 제이,3.47660678,3.431982495,2022-10-26,21.69261019,3.963730634,4,2.874280324,2022-11-23,3.727940462,2023-06-22,12.09627126,1.898699836,856.7537078,27.68805985,0,0,0,0,0,0,0,1,0,0,0
나이키 에어포스 1 '07 프리미엄 40주년 조인 포스 팀 레드,3.274026321,3.435128174,2022-10-13,21.87635918,3.971072721,4,2.869575257,2022-11-23,3.724915363,2023-11-26,10.63103399,2.082384297,670.5001138,6.797240856,0,0,0,0,0,0,0,1,0,0,0
나이키 에어포스 1 미드 '07 LV8 40주년 조인 포스 세일 브라운 바살트,3.94149205,3.450717709,2022-10-26,21.69261019,3.963730634,4,2.878254848,2022-10-12,3.73836282,2023-10-26,14.81852733,2.229786259,927.9574049,42.73203888,0,0,0,0,0,0,0,1,0,0,0
나이키 에어포스 1 '07 로우 화이트 다크 비트룻,3.124490575,3.412273705,2022-10-05,21.98808529,3.955054933,3,2.869739061,2024-03-05,3.721681082,2024-03-25,11.33616638,1.499690641,718.6166128,20.01777718,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 에어맥스 97 프리미엄 한글날,3.745908117,3.441755682,2022-10-15,21.84826859,3.987905708,3,2.876227261,2022-10-16,3.728666846,2024-04-09,12.35436754,2.768885608,936.1586843,14.51157614,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 에어맥스 스콜피온 플라이니트 레몬 워시,3.676925865,3.45313206,2022-10-15,21.84826859,4.001714965,4,2.881271824,2023-08-08,3.76767233,2023-12-13,10.76415863,1.898699836,719.3915301,21.00328185,0,0,0,0,0,0,0,1,0,0,0
나이키 x 언더커버 에어포스 1 로우 SP 블랙,3.695975465,3.44151847,2022-10-14,21.86232191,3.977411166,4,2.870524677,2023-11-28,3.706008016,2023-09-25,11.69821649,2.45756849,920.2154948,4.038909123,1,0,0,0,0,0,0,1,0,0,0
(W) 나이키 덩크 하이 SE 세일 블랙,3.995906958,3.44151847,2022-10-02,22.02972334,3.9675446,4,2.873785965,2023-02-01,3.740627803,2024-03-30,13.78874782,2.667595508,675.9665832,23.01140789,0,0,0,0,0,0,0,1,0,0,0
나이키 에어포스 1 미드 '07 LX 할로윈,3.70214929,3.433597295,2022-10-01,22.04357162,3.9675446,4,2.875349111,2022-09-30,3.735357567,2023-08-20,12.67604943,2.352563982,822.862369,28.30184674,0,0,0,0,0,0,0,1,0,0,0
